PIPELINE,CODE,KP,EASTING,NORTHING,DEPTH,KP_NEW,DIF
S0201,4,0,642666.3,5884542.3,32.7,0,0
S0201,4,0.016,642658.7,5884527.7,34,0.016,0
S0201,4,0.039,642648.2,5884508.3,31,0.039,0
S0201,4,0.055,642640.9,5884493.7,32.2,0.055,0
S0201,4,0.081,642628,5884470.5,32.2,0.081,0
S0201,4,0.084,642626.6,5884468.2,32.4,0.084,0
S0201,4,0.087,642625.3,5884466,32.5,0.087,0
S0201,4,0.089,642624.1,5884464,32.6,0.089,0
S0201,4,0.101,642617.8,5884453.9,33,0.101,0
S0201,4,0.111,642612.5,5884445.6,33.1,0.111,0
S0201,4,0.114,642610.6,5884442.5,33.1,0.114,0
S0201,4,0.124,642605,5884434.3,33.7,0.124,0
S0201,4,0.132,642600.8,5884428.3,34.1,0.132,0
S0201,4,0.135,642598.6,5884425.4,34,0.135,0
S0201,4,0.143,642593.8,5884418.7,34,0.143,0
S0201,4,0.151,642589,5884412.4,34,0.151,0
S0201,4,0.156,642585.9,5884408.5,33.9,0.156,0
S0201,4,0.161,642582.9,5884404.9,33.3,0.161,0
S0201,4,0.172,642575.7,5884396.1,33.2,0.172,0
S0201,4,0.177,642572.9,5884392.9,33.3,0.177,0
S0201,4,0.184,642567.9,5884387,33.3,0.184,0
S0201,4,0.195,642560.5,5884378.9,33.4,0.195,0
S0201,4,0.216,642547,5884363.8,33.4,0.216,0
S0201,4,0.222,642542.6,5884358.9,33.4,0.222,0
S0201,4,0.225,642540.8,5884357,33.4,0.225,0
S0201,4,0.246,642526.6,5884341.8,33.8,0.246,0
S0201,4,0.259,642517.7,5884332.3,34.6,0.259,0
S0201,4,0.272,642508.4,5884323.1,34.5,0.272,0
S0201,4,0.307,642535.4,5884300.9,31.2,0.307,0
S0201,4,0.309,642536,5884298.6,31.1,0.309,0
S0201,4,0.312,642534.3,5884296.9,31,0.312,0
S0201,4,0.348,642505.3,5884319.4,34.7,0.348,0
S0201,4,0.383,642481,5884294.8,35,0.383,0
S0201,4,0.394,642473.2,5884286.6,35.1,0.394,0
S0201,4,0.416,642458,5884270.2,36.6,0.416,0
S0201,4,0.467,642423.9,5884233.5,37.3,0.467,0
S0201,4,0.478,642416.3,5884225.2,37.4,0.478,0
S0201,4,0.481,642414.5,5884223.1,38.1,0.481,0
S0201,4,0.487,642410.3,5884218.3,38.3,0.487,0
S0201,4,0.491,642407.9,5884215.5,38.3,0.491,0
S0201,4,0.495,642405,5884212,38.3,0.495,0
S0201,4,0.5,642402.2,5884208.4,38.3,0.5,0
S0201,4,0.502,642400.6,5884206.2,38.3,0.502,0
S0201,4,0.512,642394.6,5884198.4,38.3,0.512,0
S0201,4,0.515,642392.9,5884196.1,38.3,0.515,0
S0201,4,0.52,642390.2,5884192.4,38.2,0.52,0
S0201,4,0.526,642386.4,5884187,38,0.526,0
S0201,4,0.529,642384.8,5884184.8,38.2,0.529,0
S0201,4,0.533,642382.8,5884181.9,38.2,0.533,0
S0201,4,0.537,642380.3,5884178.1,38.1,0.537,0
S0201,4,0.544,642376.8,5884172.6,38.2,0.544,0
S0201,4,0.548,642374.4,5884168.7,38.2,0.548,0
S0201,4,0.553,642372,5884164.8,38.3,0.553,0
S0201,4,0.556,642370.6,5884162.3,38.4,0.556,0
S0201,4,0.559,642368.9,5884159.1,38.5,0.559,0
S0201,4,0.565,642366.5,5884154.4,38.7,0.565,0
S0201,4,0.572,642362.7,5884147.7,38.9,0.572,0
S0201,4,0.575,642361.4,5884145.2,39,0.575,0
S0201,4,0.616,642340.8,5884110.2,40.4,0.616,0
S0201,4,0.619,642339.3,5884107.6,40.4,0.619,0
S0201,4,0.621,642337.8,5884105.4,40.3,0.621,0
S0201,4,0.625,642336,5884102.6,40.4,0.625,0
S0201,4,0.65,642322.1,5884081.5,40.9,0.65,0
S0201,4,0.658,642317.7,5884075,42.8,0.658,0
S0201,4,0.679,642305.5,5884057.7,40.7,0.679,0
S0201,4,0.683,642303.2,5884054.6,40.8,0.683,0
S0201,4,0.692,642297.6,5884047.6,41.1,0.692,0
S0201,4,0.701,642291.9,5884040.3,40.9,0.701,0
S0201,4,0.705,642289.6,5884037.5,40.9,0.705,0
S0201,4,0.707,642288.1,5884035.7,40.8,0.707,0
S0201,4,0.713,642284.3,5884031,40.8,0.713,0
S0201,4,0.716,642282.5,5884029,40.9,0.716,0
S0201,4,0.738,642267.9,5884012.1,40.1,0.738,0
S0201,4,0.764,642249.9,5883993.8,41.2,0.764,0
S0201,4,0.766,642248,5883991.9,41.3,0.766,0
S0201,4,0.771,642244.5,5883988.6,41.4,0.771,0
S0201,4,0.78,642238.1,5883982.5,41.8,0.78,0
S0201,4,0.784,642235.2,5883979.6,42,0.784,0
S0201,4,0.803,642221.7,5883966.1,40.8,0.803,0
S0201,4,0.828,642204.6,5883948.5,40.6,0.828,0
S0201,4,0.83,642203.1,5883947.1,40.6,0.83,0
S0201,4,0.842,642195,5883938.2,40.9,0.842,0
S0201,4,0.853,642187.4,5883929.8,41,0.853,0
S0201,4,0.868,642177.2,5883918.6,41,0.868,0
S0201,4,0.882,642168.5,5883908.7,40.7,0.882,0
S0201,4,0.896,642159,5883898.1,42.4,0.896,0
S0201,4,0.898,642157.7,5883896.5,42.8,0.898,0
S0201,4,0.909,642150.4,5883888,42.7,0.909,0
S0201,4,0.915,642146.7,5883883.7,42.8,0.915,0
S0201,4,0.925,642139.9,5883875.5,42.8,0.925,0
S0201,4,0.938,642132.2,5883866,42.8,0.938,0
S0201,4,0.942,642129.7,5883862.9,42.8,0.942,0
S0201,4,0.945,642127.7,5883860.2,42.8,0.945,0
S0201,4,0.95,642124.9,5883856.5,42.7,0.95,0
S0201,4,0.965,642115.5,5883844.4,42.6,0.965,0
S0201,4,0.976,642109,5883836,42.3,0.976,0
S0201,4,0.981,642105.7,5883831.8,42.2,0.981,0
S0201,4,0.984,642103.5,5883829.1,42.1,0.984,0
S0201,4,0.988,642101.3,5883826.5,42.1,0.988,0
S0201,4,0.998,642094.7,5883818.7,41.8,0.998,0
S0201,4,1.001,642093,5883816.7,41.8,1.001,0
S0201,4,1.007,642088.9,5883812.1,41.7,1.007,0
S0201,4,1.01,642086.6,5883809.7,41.5,1.01,0
S0201,4,1.012,642085.1,5883808.2,41.6,1.012,0
S0201,4,1.025,642076.3,5883799.5,41.3,1.025,0
S0201,4,1.033,642070.4,5883793.8,41.2,1.033,0
S0201,4,1.037,642067.6,5883791.1,41.3,1.037,0
S0201,4,1.04,642065.5,5883789.1,41.3,1.04,0
S0201,4,1.046,642061,5883785.1,41.3,1.046,0
S0201,4,1.05,642057.9,5883782.5,41.2,1.05,0
S0201,4,1.055,642053.9,5883779.3,41.2,1.055,0
S0201,4,1.058,642051.5,5883777.4,41.2,1.058,0
S0201,4,1.073,642039.6,5883768.4,40.4,1.073,0
S0201,4,1.075,642037.7,5883767.1,40.1,1.075,0
S0201,4,1.079,642034.7,5883765,39.8,1.079,0
S0201,4,1.081,642033,5883763.9,39.7,1.081,0
S0201,4,1.085,642029.2,5883761.4,39.5,1.085,0
S0201,4,1.089,642026.4,5883759.6,39.1,1.089,0
S0201,4,1.092,642023.8,5883758,38.9,1.092,0
S0201,4,1.094,642021.9,5883756.9,38.9,1.094,0
S0201,4,1.101,642016.2,5883753.6,38.6,1.101,0
S0201,4,1.104,642012.9,5883751.9,38.7,1.104,0
S0201,4,1.111,642007,5883748.8,39.5,1.111,0
S0201,4,1.114,642004.1,5883747.4,39.5,1.114,0
S0201,4,1.116,642002.1,5883746.5,40,1.116,0
S0201,4,1.119,641999.7,5883745.5,39.5,1.119,0
S0201,4,1.127,641992.4,5883742.8,38.4,1.127,0
S0201,4,1.13,641989.2,5883741.6,38.6,1.13,0
S0201,4,1.137,641982.7,5883739.2,38.8,1.137,0
S0201,4,1.139,641980.4,5883738.4,38.9,1.139,0
S0201,4,1.144,641975.8,5883736.9,39.4,1.144,0
S0201,4,1.148,641972,5883735.8,39.6,1.148,0
S0201,4,1.15,641970,5883735.3,39.8,1.15,0
S0201,4,1.157,641963.3,5883733.8,40.3,1.157,0
S0201,4,1.159,641961.1,5883733.2,40.6,1.159,0
S0201,4,1.162,641959.1,5883732.7,41.1,1.162,0
S0201,4,1.181,641940,5883727.7,42.5,1.181,0
S0201,4,1.203,641919,5883722.1,43.4,1.203,0
S0201,4,1.208,641914.5,5883720.8,43.7,1.208,0
S0201,4,1.21,641912.1,5883720.1,43.7,1.21,0
S0201,4,1.213,641909.8,5883719.3,43.6,1.213,0
S0201,4,1.224,641899.5,5883715.7,43.9,1.224,0
S0201,4,1.227,641896.4,5883714.4,44.7,1.227,0
S0201,4,1.23,641893.9,5883713.2,44.8,1.23,0
S0201,4,1.233,641890.6,5883711.5,43.7,1.233,0
S0201,4,1.236,641888.6,5883710.3,43.4,1.236,0
S0201,4,1.239,641885.7,5883708.5,43.9,1.239,0
S0201,4,1.255,641872.6,5883699.6,44.1,1.255,0
S0201,4,1.262,641866.9,5883695.7,44.4,1.262,0
S0201,4,1.275,641855.9,5883688.1,44.5,1.275,0
S0201,4,1.28,641852.2,5883685.3,44.5,1.28,0
S0201,4,1.303,641834.4,5883670.8,44.7,1.303,0
S0201,4,1.306,641832.3,5883668.9,44,1.306,0
S0201,4,1.315,641825.4,5883662.9,44.2,1.315,0
S0201,4,1.318,641822.8,5883660.7,44.5,1.318,0
S0201,4,1.321,641820.6,5883658.7,44.5,1.321,0
S0201,4,1.324,641818.3,5883656.7,44.5,1.324,0
S0201,4,1.335,641810.2,5883649.3,44.8,1.335,0
S0201,4,1.338,641807.8,5883647.1,44.6,1.338,0
S0201,4,1.362,641790.3,5883630.8,45,1.362,0
S0201,4,1.365,641788.5,5883629.1,44.9,1.365,0
S0201,4,1.372,641783.7,5883624.4,44.8,1.372,0
S0201,4,1.381,641776.9,5883617.8,44.5,1.381,0
S0201,4,1.384,641774.6,5883615.4,44.5,1.384,0
S0201,4,1.388,641772.1,5883612.9,44.4,1.388,0
S0201,4,1.397,641766.2,5883606.3,44.1,1.397,0
S0201,4,1.423,641749.2,5883586.9,44.1,1.423,0
S0201,4,1.425,641747.9,5883585.3,44.2,1.425,0
S0201,4,1.434,641741.6,5883578.2,44.5,1.434,0
S0201,4,1.439,641738.3,5883574.6,44.2,1.439,0
S0201,4,1.446,641733.4,5883569.4,44.8,1.446,0
S0201,4,1.449,641731.3,5883567.2,45,1.449,0
S0201,4,1.455,641727,5883562.9,44.9,1.455,0
S0201,4,1.458,641724.8,5883560.8,44.9,1.458,0
S0201,4,1.463,641721.2,5883557.5,44.7,1.463,0
S0201,4,1.465,641719.6,5883556.1,44.5,1.465,0
S0201,4,1.468,641717.3,5883554.1,44.3,1.468,0
S0201,4,1.472,641714.8,5883552.1,44,1.472,0
S0201,4,1.474,641712.9,5883550.7,43.9,1.474,0
S0201,4,1.476,641711.3,5883549.5,43.8,1.476,0
S0201,4,1.481,641707.2,5883546.7,43.7,1.481,0
S0201,4,1.485,641703.8,5883544.5,43.8,1.485,0
S0201,4,1.489,641700.4,5883542.4,43.8,1.489,0
S0201,4,1.491,641698.7,5883541.3,43.8,1.491,0
S0201,4,1.494,641696.3,5883539.9,43.8,1.494,0
S0201,4,1.497,641693.2,5883538.2,43.7,1.497,0
S0201,4,1.5,641690.7,5883536.9,43.3,1.5,0
S0201,4,1.503,641688.2,5883535.7,43.2,1.503,0
S0201,4,1.519,641673.5,5883529.2,43.1,1.519,0
S0201,4,1.521,641671.6,5883528.3,43.2,1.521,0
S0201,4,1.523,641669.7,5883527.6,43.3,1.523,0
S0201,4,1.525,641667.8,5883526.8,43.3,1.525,0
S0201,4,1.533,641660.1,5883524,43,1.533,0
S0201,4,1.539,641654.9,5883522.2,43,1.539,0
S0201,4,1.545,641649.4,5883520.5,43,1.545,0
S0201,4,1.547,641647.5,5883519.8,43.1,1.547,0
S0201,4,1.558,641636.4,5883515.7,43.4,1.558,0
S0201,4,1.561,641633.9,5883514.7,43.9,1.561,0
S0201,4,1.572,641623.9,5883510.9,43.8,1.572,0
S0201,4,1.583,641613.7,5883506.9,44.3,1.583,0
S0201,4,1.587,641609.5,5883505.1,44,1.587,0
S0201,4,1.596,641601.7,5883501.5,43,1.596,0
S0201,4,1.598,641599.5,5883500.5,43.2,1.598,0
S0201,4,1.604,641594.6,5883498.1,43.4,1.604,0
S0201,4,1.608,641591.3,5883496.4,43.1,1.608,0
S0201,4,1.615,641585,5883493,44,1.615,0
S0201,4,1.621,641579.5,5883489.7,44.3,1.621,0
S0201,4,1.624,641577.3,5883488.3,44.5,1.624,0
S0201,4,1.626,641575.3,5883487,44.6,1.626,0
S0201,4,1.629,641573.1,5883485.4,44.7,1.629,0
S0201,4,1.632,641570.9,5883483.7,44.8,1.632,0
S0201,4,1.638,641566,5883479.9,44.8,1.638,0
S0201,4,1.64,641563.9,5883478.2,45,1.64,0
S0201,4,1.645,641560.8,5883475.5,45.1,1.645,0
S0201,4,1.652,641555,5883470.6,45.2,1.652,0
S0201,4,1.662,641547.5,5883464,45.3,1.662,0
S0201,4,1.666,641544.7,5883461.5,45.3,1.666,0
S0201,4,1.671,641540.7,5883457.9,45.2,1.671,0
S0201,4,1.676,641537.3,5883454.7,45.3,1.676,0
S0201,4,1.679,641535.2,5883452.8,45.2,1.679,0
S0201,4,1.685,641530.9,5883448.7,45.3,1.685,0
S0201,4,1.69,641526.9,5883445,45.3,1.69,0
S0201,4,1.717,641507.1,5883427.2,45.6,1.717,0
S0201,4,1.721,641503.8,5883424.3,45.7,1.721,0
S0201,4,1.729,641498.2,5883419.5,45.8,1.729,0
S0201,4,1.738,641491.1,5883413.7,45.5,1.738,0
S0201,4,1.742,641487.6,5883410.9,45.1,1.742,0
S0201,4,1.746,641484.8,5883408.8,44.9,1.746,0
S0201,4,1.75,641481.4,5883406.2,44.8,1.75,0
S0201,4,1.755,641477,5883403.1,45,1.755,0
S0201,4,1.759,641474.1,5883401.1,45,1.759,0
S0201,4,1.762,641471.1,5883399.2,45,1.762,0
S0201,4,1.773,641461.8,5883394,45.5,1.773,0
S0201,4,1.778,641457.6,5883391.7,45.5,1.778,0
S0201,4,1.781,641455.3,5883390.5,45.6,1.781,0
S0201,4,1.784,641452.1,5883388.9,45.5,1.784,0
S0201,4,1.79,641447.2,5883386.4,45.5,1.79,0
S0201,4,1.796,641441.3,5883383.6,45.3,1.796,0
S0201,4,1.802,641436.2,5883381.3,45.3,1.802,0
S0201,4,1.805,641433.6,5883380.2,45.2,1.805,0
S0201,4,1.811,641427.7,5883377.7,45,1.811,0
S0201,4,1.818,641420.9,5883374.9,44.8,1.818,0
S0201,4,1.832,641408.1,5883369.9,44.5,1.832,0
S0201,4,1.849,641392,5883364,44.4,1.849,0
S0201,4,1.857,641384.3,5883361.2,43.8,1.857,0
S0201,4,1.862,641380.2,5883359.9,43.5,1.862,0
S0201,4,1.864,641377.6,5883358.9,43.5,1.864,0
S0201,4,1.867,641375.1,5883358,43.6,1.867,0
S0201,4,1.88,641363.3,5883353.3,43.7,1.88,0
S0201,4,1.889,641354.5,5883349.6,43.9,1.889,0
S0201,4,1.896,641348,5883346.9,44.2,1.896,0
S0201,4,1.905,641340.5,5883343.6,44.7,1.905,0
S0201,4,1.908,641337.2,5883342.1,44.8,1.908,0
S0201,4,1.918,641328,5883337.8,45.1,1.918,0
S0201,4,1.923,641323.9,5883335.9,45.1,1.923,0
S0201,4,1.93,641317.8,5883332.9,45.2,1.93,0
S0201,4,1.939,641309.2,5883328.7,45.3,1.939,0
S0201,4,1.958,641292.4,5883319.9,45.4,1.958,0
S0201,4,1.961,641289.8,5883318.4,45.1,1.961,0
S0201,4,1.964,641287.3,5883317.1,44.8,1.964,0
S0201,4,1.977,641276,5883311.1,44.8,1.977,0
S0201,4,2,641255.5,5883300.6,44.7,2,0
S0201,4,2.012,641244.6,5883295.1,44.6,2.012,0
S0201,4,2.016,641241.4,5883293.5,44.6,2.016,0
S0201,4,2.042,641217.2,5883282.1,44.8,2.042,0
S0201,4,2.048,641211.7,5883279.6,44.7,2.048,0
S0201,4,2.054,641206.6,5883277.3,44.5,2.054,0
S0201,4,2.064,641197.7,5883273.5,44,2.064,0
S0201,4,2.066,641195.3,5883272.5,44,2.066,0
S0201,4,2.071,641191.3,5883271.1,43.9,2.071,0
S0201,4,2.081,641181.3,5883267,43.6,2.081,0
S0201,4,2.085,641177.9,5883265.4,43.7,2.085,0
S0201,4,2.088,641175.5,5883264.2,43.8,2.088,0
S0201,4,2.092,641172.3,5883262.3,43.9,2.092,0
S0201,4,2.097,641167.5,5883259,44,2.097,0
S0201,4,2.102,641164,5883256.8,43,2.102,0
S0201,4,2.104,641161.4,5883255.4,43,2.104,0
S0201,4,2.113,641153.9,5883252.5,42.9,2.113,0
S0201,4,2.115,641151.2,5883251.5,42.9,2.115,0
S0201,4,2.124,641143.1,5883249,43,2.124,0
S0201,4,2.126,641141.1,5883248.5,42.6,2.126,0
